mapsize,16,10,,,,,,,,,,,,,
mapdata,,,,,,,,,,,,,,,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34
